brand,market,demographic,product,price_gbp,min_age,max_age,source
M&S,UK,Kids/Teen,Pure Cotton Short Pyjamas (1-16 Yrs),8,1,16,manual
M&S,UK,Kids/Teen,2 Pack Cotton Pyjamas (6-16 Yrs),26,6,16,manual
M&S,UK,Kids/Teen,Licensed Character Pyjamas (6-16 Yrs),20,6,16,manual
M&S,UK,Kids/Teen,Fleece Onesie (1-16 Yrs),22,1,16,manual
M&S,UK,Kids/Teen,Dressing Gown (1-16 Yrs),28,1,16,manual
Next,UK,Kids/Teen,Cotton Pyjama Set (3-16 Yrs),14,3,16,manual
Next,UK,Kids/Teen,Printed Pyjama Set (3-16 Yrs),18,3,16,manual
Next,UK,Kids/Teen,Satin Pyjama Set (8-16 Yrs),22,8,16,manual
Next,UK,Kids/Teen,Dressing Gown (3-16 Yrs),24,3,16,manual
Boden,UK,Kids,Girls Printed Pyjama Set (2-12 Yrs),36,2,12,manual
Boden,UK,Kids,Girls Jersey Pyjama Set (2-12 Yrs),32,2,12,manual
Boden,UK,Adult,Womens Printed Cotton Pyjama Set,75,18,65,manual
Desmond & Dempsey,UK,Adult,Classic PJ Set,145,25,55,manual
Desmond & Dempsey,UK,Adult,Shorts PJ Set,120,25,55,manual
Desmond & Dempsey,UK,Kids,Kids PJ Set (up to age 10),89,2,10,manual
White Fox,UK,Young Adult,Tracksuit Set,110,16,30,manual
White Fox,UK,Young Adult,PJ Set,75,16,30,manual
White Fox,UK,Young Adult,Hoodie,65,16,30,manual
Roller Rabbit,US,Adult,PJ Set,101.12,25,55,manual
Roller Rabbit,US,Kids,Kids PJ Set (up to age 12),69.52,2,12,manual
Pink Chicken,US,Kids,Kids PJ Set (up to age 12),53.72,2,12,manual
Pink Chicken,US,Adult,Womens PJ Set,86.9,25,55,manual
Katie J NYC,US,Teen,PJ Set (4-16 Yrs),61.62,4,16,manual
Katie J NYC,US,Teen,Hoodie Set (4-16 Yrs),75.05,4,16,manual
Eberjey,US,Adult,PJ Set,130.35,25,55,manual
Eberjey,US,Kids,Kids PJ Set (up to age 12),75.05,2,12,manual
Primark,UK,Kids,Licensed Character Pyjamas (5-15 Yrs),12,5,15,manual
Primark,UK,Kids,Graphic Short Pyjamas Set,8,7,15,manual
Primark,UK,Kids,2pk Licensed PJ short set,13,5,15,manual
Primark,UK,Kids,Shirt Pyjamas,10,5,15,manual
H&M Kids,UK,Kids,Satin Pyjamas Set,14.99,8,14,manual
H&M Kids,UK,Kids,Jersey Pyjamas Set,19.99,8,14,manual
H&M Kids,UK,Kids,Licensed Character PJ Shorts Set,17.99,8,14,manual
H&M Kids,UK,Kids,Cotton Pyjama Bottoms,9.99,8,14,manual
H&M Kids,UK,Kids,Cotton PJ Short Set,7.99,8,14,manual
Zara Kids,UK,Kids,Combined Ribbed & Striped PJ Set,18.99,6,14,manual
Zara Kids,UK,Kids,Pyjama Set with Piping,22.99,6,14,manual
Zara Kids,UK,Kids,PJ Bottoms,12.99,6,14,manual
Zara Kids,UK,Kids,Licensed Character PJ Set,18.99,6,14,manual
Zara Kids,UK,Kids,Ripple Texture PJ Set,25.99,6,14,manual
River Island Kids,UK,Kids,Satin PJ Shorts Set,22,5,14,manual
River Island Kids,UK,Kids,PJ Set,24,5,14,manual
River Island Kids,UK,Kids,PJ Set with Scrunchie,16,5,14,manual
Asos (own brand),UK,Adult,tee and short PJ Set,14,20,55,manual
Asos (own brand),UK,Adult,Jersey PJ Bottom,20,20,55,manual
Asos (own brand),UK,Adult,Jersey PJ Top,18,20,55,manual
Matalan,UK,Kids,Satin PJ Set Shorts,15,4,13,manual
Matalan,UK,Kids,PJ Set Shorts,12,7,13,manual
Matalan,UK,Kids,PJ Set,15,4,13,manual
Matalan,UK,Kids,Licensed 2 Pack PJ Set,18,5,13,manual
George (Asda),UK,Kids,Shirt PJ Set,9,1.5,14,manual
George (Asda),UK,Kids,3 Pack Short PJ Set,12,1.5,14,manual
George (Asda),UK,Kids,Licensed Character PJ Shorts Set,12,3,14,manual
George (Asda),UK,Kids,Licensed Character PJ Set,11,1.5,14,manual
George (Asda),UK,Kids,5 Pack PJ Set,20,1.5,14,manual
SHEIN,UK,Kids,3 Piece Satin PJ Set,8.79,8,12,manual
SHEIN,UK,Kids,PJ Set,6.27,8,12,manual
Lounge,UK,Adult,PJ Bottoms,40,20,55,manual
Lounge,UK,Adult,PJ Top,40,20,55,manual
Brandy Melville,UK,Young Adult,PJ Bottoms,30,14,30,manual
Brandy Melville,UK,Young Adult,PJ Shorts,18,14,30,manual
