date,Desmond Dempsey,Roller Rabbit,Pink Chicken,White Fox Boutique
2021-02-21,11,0,28,9
2021-02-28,11,0,29,9
2021-03-07,11,0,24,6
2021-03-14,5,0,28,8
2021-03-21,7,4,25,9
2021-03-28,4,0,23,9
2021-04-04,8,0,26,15
2021-04-11,5,0,21,8
2021-04-18,5,0,24,4
2021-04-25,7,0,26,6
2021-05-02,6,0,22,6
2021-05-09,5,0,25,9
2021-05-16,8,0,25,8
2021-05-23,8,0,25,9
2021-05-30,10,0,24,9
2021-06-06,6,6,28,13
2021-06-13,11,0,23,0
2021-06-20,8,0,21,8
2021-06-27,14,0,25,12
2021-07-04,8,0,18,12
2021-07-11,5,0,19,7
2021-07-18,13,0,19,8
2021-07-25,9,0,26,7
2021-08-01,10,0,25,8
2021-08-08,6,0,21,9
2021-08-15,6,0,18,14
2021-08-22,6,0,26,20
2021-08-29,7,0,25,22
2021-09-05,9,0,22,14
2021-09-12,8,0,30,18
2021-09-19,8,0,24,6
2021-09-26,4,0,25,9
2021-10-03,6,0,26,11
2021-10-10,6,0,26,18
2021-10-17,6,0,31,15
2021-10-24,0,0,28,14
2021-10-31,10,0,27,6
2021-11-07,7,6,28,14
2021-11-14,17,0,27,14
2021-11-21,16,0,30,14
2021-11-28,16,4,23,14
2021-12-05,22,5,24,11
2021-12-12,28,0,25,9
2021-12-19,27,0,28,12
2021-12-26,21,9,24,14
2022-01-02,13,0,30,14
2022-01-09,15,6,30,15
2022-01-16,10,0,30,14
2022-01-23,0,5,34,14
2022-01-30,9,8,29,14
2022-02-06,9,5,33,15
2022-02-13,8,6,32,12
2022-02-20,7,4,32,17
2022-02-27,8,6,28,30
2022-03-06,8,6,30,25
2022-03-13,11,5,30,16
2022-03-20,11,9,26,16
2022-03-27,8,5,28,22
2022-04-03,10,0,28,17
2022-04-10,7,6,27,18
2022-04-17,8,5,29,16
2022-04-24,8,7,27,18
2022-05-01,8,4,27,22
2022-05-08,4,5,30,18
2022-05-15,8,5,30,22
2022-05-22,8,6,29,25
2022-05-29,6,4,32,16
2022-06-05,8,0,31,20
2022-06-12,7,0,28,14
2022-06-19,7,5,23,24
2022-06-26,8,0,23,17
2022-07-03,12,5,29,19
2022-07-10,9,5,28,16
2022-07-17,9,0,26,18
2022-07-24,10,7,27,20
2022-07-31,9,6,27,23
2022-08-07,12,9,30,20
2022-08-14,13,6,24,24
2022-08-21,8,8,27,24
2022-08-28,8,0,30,20
2022-09-04,7,7,29,15
2022-09-11,9,0,27,21
2022-09-18,9,0,27,19
2022-09-25,6,7,30,19
2022-10-02,8,0,36,15
2022-10-09,6,0,28,29
2022-10-16,6,0,36,23
2022-10-23,7,6,33,20
2022-10-30,7,4,32,23
2022-11-06,11,6,31,25
2022-11-13,15,7,29,20
2022-11-20,13,6,32,40
2022-11-27,16,6,34,25
2022-12-04,16,7,31,23
2022-12-11,23,0,25,22
2022-12-18,11,10,30,24
