"Time","Pink Palm Puff","Brandy Melville","White Fox"
"2021-03-01",0,11,3
"2021-04-01",0,8,4
"2021-05-01",0,8,4
"2021-06-01",0,7,4
"2021-07-01",0,9,4
"2021-08-01",0,10,5
"2021-09-01",0,10,5
"2021-10-01",0,12,5
"2021-11-01",0,13,5
"2021-12-01",0,15,5
"2022-01-01",0,12,6
"2022-02-01",0,12,6
"2022-03-01",0,11,6
"2022-04-01",0,11,5
"2022-05-01",0,10,6
"2022-06-01",0,10,6
"2022-07-01",0,11,6
"2022-08-01",0,12,7
"2022-09-01",0,12,7
"2022-10-01",0,12,8
"2022-11-01",0,13,11
"2022-12-01",0,14,10
"2023-01-01",0,11,11
"2023-02-01",0,11,11
"2023-03-01",0,10,12
"2023-04-01",0,12,14
"2023-05-01",0,10,12
"2023-06-01",0,11,12
"2023-07-01",0,12,17
"2023-08-01",0,13,24
"2023-09-01",0,11,31
"2023-10-01",0,12,44
"2023-11-01",0,12,76
"2023-12-01",0,14,70
"2024-01-01",0,12,49
"2024-02-01",0,13,44
"2024-03-01",0,15,50
"2024-04-01",0,15,55
"2024-05-01",0,14,43
"2024-06-01",1,13,48
"2024-07-01",2,13,46
"2024-08-01",3,15,52
"2024-09-01",3,13,68
"2024-10-01",2,12,65
"2024-11-01",3,16,100
"2024-12-01",3,16,91
"2025-01-01",3,13,44
"2025-02-01",3,13,40
"2025-03-01",3,14,42
"2025-04-01",3,14,41
"2025-05-01",3,15,35
"2025-06-01",3,13,31
"2025-07-01",2,14,29
"2025-08-01",3,15,32
"2025-09-01",2,13,35
"2025-10-01",2,13,39
"2025-11-01",3,16,59
"2025-12-01",3,16,53
"2026-01-01",2,13,27
"2026-02-01",2,13,26
"2026-03-01",1,14,28
