date,kids pyjamas,kids pjs,kids nightwear,luxury pyjamas,girls pyjamas,kids pajamas,luxury pajamas,girls pajamas
2021-02-21,19,14,0,3,22,7,0,7
2021-02-28,20,16,0,3,25,5,0,6
2021-03-07,18,11,0,0,22,5,0,5
2021-03-14,15,13,0,3,22,5,0,6
2021-03-21,19,17,0,0,24,6,0,6
2021-03-28,17,14,0,2,23,5,0,5
2021-04-04,13,11,0,0,16,4,0,4
2021-04-11,13,9,0,0,17,2,0,3
2021-04-18,11,7,0,0,16,2,0,5
2021-04-25,11,8,0,0,17,3,0,5
2021-05-02,14,9,0,0,21,3,0,5
2021-05-09,14,9,0,0,19,3,0,5
2021-05-16,11,10,0,0,16,2,0,4
2021-05-23,10,7,0,0,14,3,0,5
2021-05-30,13,8,0,0,18,4,0,5
2021-06-06,11,7,0,0,17,3,0,4
2021-06-13,9,7,0,2,16,2,0,4
2021-06-20,9,8,0,0,16,3,0,3
2021-06-27,12,7,0,0,16,3,0,4
2021-07-04,13,9,0,0,16,3,0,3
2021-07-11,8,7,0,0,13,2,0,2
2021-07-18,9,8,0,2,12,2,0,3
2021-07-25,13,10,0,0,15,3,0,3
2021-08-01,15,10,0,0,12,3,0,4
2021-08-08,15,11,0,0,14,2,0,3
2021-08-15,18,14,0,0,18,7,0,5
2021-08-22,15,11,0,0,17,6,0,5
2021-08-29,23,17,0,0,26,9,0,5
2021-09-05,17,16,0,0,21,9,0,6
2021-09-12,24,21,0,0,24,10,0,9
2021-09-19,30,25,0,0,33,10,0,9
2021-09-26,42,32,2,3,40,15,2,10
2021-10-03,45,32,0,0,43,17,0,11
2021-10-10,47,32,0,2,47,14,0,12
2021-10-17,48,35,0,4,49,17,0,13
2021-10-24,44,35,0,4,44,16,0,8
2021-10-31,65,46,0,5,59,16,0,16
2021-11-07,69,52,2,4,66,24,0,16
2021-11-14,71,52,2,7,74,23,0,17
2021-11-21,95,61,0,6,80,25,2,20
2021-11-28,100,75,2,8,88,33,0,25
2021-12-05,87,63,3,10,82,27,3,19
2021-12-12,74,54,0,11,72,24,0,16
2021-12-19,45,33,0,5,37,14,3,10
2021-12-26,22,18,2,2,24,8,0,3
2022-01-02,18,13,0,0,18,6,0,4
2022-01-09,15,12,0,2,16,5,0,4
2022-01-16,13,10,0,2,15,3,0,4
2022-01-23,15,7,0,2,13,4,0,3
2022-01-30,15,11,0,0,14,5,0,6
2022-02-06,12,10,0,3,16,4,0,3
2022-02-13,13,10,0,2,16,4,0,5
2022-02-20,17,10,0,0,18,5,0,5
2022-02-27,20,12,0,2,20,6,0,5
2022-03-06,13,8,0,2,17,4,0,3
2022-03-13,13,9,0,2,16,5,0,5
2022-03-20,14,7,0,2,14,4,0,4
2022-03-27,12,9,0,2,13,3,0,3
2022-04-03,13,11,0,2,14,4,0,5
2022-04-10,12,9,0,0,14,4,0,4
2022-04-17,13,8,0,0,13,3,0,3
2022-04-24,11,8,0,0,12,5,0,3
2022-05-01,13,8,0,0,15,3,0,3
2022-05-08,11,9,0,0,16,3,0,4
2022-05-15,10,7,0,0,16,3,0,4
2022-05-22,12,10,0,0,14,3,0,2
2022-05-29,7,6,0,0,17,3,0,2
2022-06-05,9,7,0,0,13,2,0,3
2022-06-12,9,7,0,0,11,2,0,3
2022-06-19,10,6,0,0,13,3,0,5
2022-06-26,9,8,0,0,13,2,0,3
2022-07-03,12,8,2,0,16,3,0,2
2022-07-10,10,8,0,0,14,3,0,2
2022-07-17,9,7,0,0,11,2,0,2
2022-07-24,12,9,0,0,12,3,0,3
2022-07-31,13,9,0,2,16,4,0,4
2022-08-07,11,7,0,0,12,3,0,0
2022-08-14,13,9,0,0,11,3,0,0
2022-08-21,14,11,0,0,16,4,0,3
2022-08-28,20,17,0,0,21,7,0,6
2022-09-04,22,12,2,0,23,7,2,6
2022-09-11,28,22,0,0,28,11,0,7
2022-09-18,36,24,0,0,35,12,0,6
2022-09-25,50,32,0,3,41,12,0,7
2022-10-02,41,28,0,3,40,14,0,7
2022-10-09,36,28,0,2,39,10,0,8
2022-10-16,37,30,0,2,34,13,0,8
2022-10-23,43,33,0,3,36,13,0,7
2022-10-30,48,35,0,3,43,17,0,8
2022-11-06,60,47,2,3,59,21,0,11
2022-11-13,71,51,0,6,63,24,2,13
2022-11-20,70,54,2,7,65,23,0,13
2022-11-27,76,60,2,5,75,30,2,12
2022-12-04,74,50,3,8,68,25,3,12
2022-12-11,63,43,0,8,62,23,2,15
2022-12-18,36,26,0,4,32,12,0,7
2022-12-25,23,15,0,2,21,6,0,3
2023-01-01,14,10,0,2,15,4,0,0
2023-01-08,14,10,0,0,14,3,0,4
2023-01-15,14,10,0,3,14,2,0,3
2023-01-22,13,8,0,2,15,3,0,3
2023-01-29,14,9,0,0,13,3,0,4
2023-02-05,13,12,0,2,13,4,0,2
2023-02-12,13,9,0,0,13,3,0,4
