date,kids pajamas,girls pajamas,kids pjs,luxury pajamas
2021-02-21,13,12,3,0
2021-02-28,13,13,3,0
2021-03-07,11,12,2,1
2021-03-14,11,11,3,0
2021-03-21,12,12,3,1
2021-03-28,10,10,2,0
2021-04-04,9,9,2,1
2021-04-11,7,9,2,1
2021-04-18,8,8,1,1
2021-04-25,8,8,2,0
2021-05-02,7,9,2,1
2021-05-09,7,7,2,0
2021-05-16,9,7,2,1
2021-05-23,8,8,2,1
2021-05-30,8,8,2,0
2021-06-06,8,7,2,1
2021-06-13,7,8,2,0
2021-06-20,7,7,2,0
2021-06-27,8,7,2,0
2021-07-04,8,8,2,0
2021-07-11,9,8,2,0
2021-07-18,9,7,2,0
2021-07-25,8,7,2,1
2021-08-01,10,7,3,0
2021-08-08,10,8,3,1
2021-08-15,12,10,2,0
2021-08-22,12,9,3,1
2021-08-29,16,10,3,0
2021-09-05,16,10,3,0
2021-09-12,18,11,4,1
2021-09-19,21,13,4,0
2021-09-26,24,17,6,1
2021-10-03,26,15,7,1
2021-10-10,29,18,7,1
2021-10-17,37,22,9,1
2021-10-24,42,21,9,0
2021-10-31,44,24,10,2
2021-11-07,47,28,13,1
2021-11-14,53,32,12,2
2021-11-21,64,41,13,2
2021-11-28,69,44,15,2
2021-12-05,69,46,16,3
2021-12-12,68,45,15,2
2021-12-19,38,22,9,2
2021-12-26,17,10,4,1
2022-01-02,15,10,3,2
2022-01-09,13,11,3,1
2022-01-16,13,9,3,1
2022-01-23,12,10,2,1
2022-01-30,13,11,2,1
2022-02-06,12,9,3,1
2022-02-13,10,9,2,1
2022-02-20,13,10,3,1
2022-02-27,13,10,3,0
2022-03-06,11,8,2,1
2022-03-13,11,9,2,1
2022-03-20,11,8,2,0
2022-03-27,10,8,2,0
2022-04-03,10,8,3,1
2022-04-10,9,7,2,1
2022-04-17,9,7,2,1
2022-04-24,8,7,2,1
2022-05-01,8,6,2,1
2022-05-08,9,7,2,1
2022-05-15,9,8,2,1
2022-05-22,8,8,2,1
2022-05-29,8,6,2,1
2022-06-05,8,6,2,1
2022-06-12,8,7,3,1
2022-06-19,8,7,2,1
2022-06-26,9,6,2,1
2022-07-03,8,6,2,1
2022-07-10,9,7,2,0
2022-07-17,9,8,2,0
2022-07-24,9,7,2,1
2022-07-31,13,8,3,1
2022-08-07,11,9,3,1
2022-08-14,14,9,2,1
2022-08-21,13,9,3,1
2022-08-28,14,10,3,1
