brand,market,demographic,product,price_gbp,min_age,max_age,source
M&S,UK,Kids/Teen,Pure Cotton Short Pyjamas (1-16 Yrs),8,1,16,manual
M&S,UK,Kids/Teen,2 Pack Cotton Pyjamas (6-16 Yrs),26,6,16,manual
M&S,UK,Kids/Teen,Licensed Character Pyjamas (6-16 Yrs),20,6,16,manual
M&S,UK,Kids/Teen,PJ Shorts Set,18,6,16,manual
M&S,UK,Kids/Teen,Dressing Gown (1-16 Yrs),28,1,16,manual
Next,UK,Kids/Teen,Fleece Pyjama Set (3-16 Yrs),24,3,16,manual
Next,UK,Kids/Teen,3-Pack Printed Pyjama Set (3-16 Yrs),33,3,16,manual
Next,UK,Kids/Teen,Satin Short Pyjama Set (5-16 Yrs),27,5,16,manual
Next,UK,Kids/Teen,Satin PJ Set,32,5,16,manual
Next,UK,Kids/Teen,Dressing Gown (3-16 Yrs),24,3,16,manual
Boden,UK,Kids,Girls Printed Pyjama Set (2-14 Yrs),29,2,14,manual
Boden,UK,Kids,Girls Jersey Pyjama Set (2-14 Yrs),27,2,14,manual
Desmond & Dempsey,UK,Adult,Classic PJ Set,170,25,55,manual
Desmond & Dempsey,UK,Adult,Shorts PJ Set,135,25,55,manual
Desmond & Dempsey,UK,Kids,Kids PJ Set (up to age 10),45,2,11,manual
White Fox,UK,Young Adult,PJ Set,50,16,30,manual
White Fox,UK,Young Adult,PJ Set Shorts,40,16,30,manual
White Fox,UK,Young Adult,PJ Set Long Sleeve,60,16,30,manual
White Fox,UK,Young Adult,PJ Top,20,16,30,manual
White Fox,UK,Young Adult,PJ Bottoms,35,16,30,manual
Roller Rabbit,US,Adult,Womens PJ Set,180,25,55,manual
Roller Rabbit,US,Adult,Womens Long Sleeve PJ Set,133,25,55,manual
Roller Rabbit,US,Adult,Womens Shorts PJ Set,109,25,55,manual
Roller Rabbit,US,Adult,Womens PJ Bottoms,85,25,55,manual
Roller Rabbit,US,Kids,Kids PJ Set (up to age 12),54,2,14,manual
Pink Chicken,US,Kids,Kids Bamboo PJ Set (up to age 14),44,2,14,manual
Pink Chicken,US,Kids,Kids Bamboo PJ Set (up to age 14),50,2,14,manual
Pink Chicken,US,Adult,Womens PJ Set,93,25,55,manual
Pink Chicken,US,Adult,Womens Shorts PJ Set,77,25,55,manual
Katie J NYC,US,Teen,PJ Set Shorts (4-16 Yrs),54,4,16,manual
Katie J NYC,US,Teen,Hoodie Set (4-16 Yrs),75.05,4,16,manual
Katie J NYC,US,Teen,PJ Lounge Set,57,4,16,manual
Katie J NYC,US,Teen,Satin Shorts PJ Set ,73,4,16,manual
Eberjey,US,Kids,Tencel Short PJ Set,57,2,10,manual
Eberjey,US,Adult,Short Sleeve PJ Set,156,25,55,manual
Eberjey,US,Adult,Silk Shorts PJ Set,180,25,55,manual
Eberjey,US,Adult,Tencel Modal PJ Set,124,25,55,manual
Eberjey,US,Kids,Kids PJ Set (up to age 12),57,2,10,manual
Primark,UK,Kids,Licensed Character Pyjamas (5-15 Yrs),12,5,15,manual
Primark,UK,Kids,Graphic Short Pyjamas Set,8,7,15,manual
Primark,UK,Kids,2pk Licensed PJ short set,13,5,15,manual
Primark,UK,Kids,Shirt Pyjamas,10,5,15,manual
H&M Kids,UK,Kids,Satin Pyjamas Set,14.99,8,14,manual
H&M Kids,UK,Kids,Jersey Pyjamas Set,19.99,8,14,manual
H&M Kids,UK,Kids,Licensed Character PJ Shorts Set,17.99,8,14,manual
H&M Kids,UK,Kids,Cotton Pyjama Bottoms,9.99,8,14,manual
H&M Kids,UK,Kids,Cotton PJ Short Set,7.99,8,14,manual
Zara Kids,UK,Kids,Combined Ribbed & Striped PJ Set,18.99,6,14,manual
Zara Kids,UK,Kids,Pyjama Set with Piping,22.99,6,14,manual
Zara Kids,UK,Kids,PJ Bottoms,12.99,6,14,manual
Zara Kids,UK,Kids,Licensed Character PJ Set,18.99,6,14,manual
Zara Kids,UK,Kids,Ripple Texture PJ Set,25.99,6,14,manual
River Island Kids,UK,Kids,Satin PJ Shorts Set,22,5,14,manual
River Island Kids,UK,Kids,PJ Set,24,5,14,manual
River Island Kids,UK,Kids,PJ Set with Scrunchie,16,5,14,manual
Asos (own brand),UK,Adult,tee and short PJ Set,14,20,55,manual
Asos (own brand),UK,Adult,Jersey PJ Bottom,20,20,55,manual
Asos (own brand),UK,Adult,Jersey PJ Top,18,20,55,manual
Matalan,UK,Kids,Satin PJ Set Shorts,15,4,13,manual
Matalan,UK,Kids,PJ Set Shorts,12,7,13,manual
Matalan,UK,Kids,PJ Set,15,4,13,manual
Matalan,UK,Kids,Licensed 2 Pack PJ Set,18,5,13,manual
George (Asda),UK,Kids,Shirt PJ Set,9,1.5,14,manual
George (Asda),UK,Kids,3 Pack Short PJ Set,12,1.5,14,manual
George (Asda),UK,Kids,Licensed Character PJ Shorts Set,12,3,14,manual
George (Asda),UK,Kids,Licensed Character PJ Set,11,1.5,14,manual
George (Asda),UK,Kids,5 Pack PJ Set,20,1.5,14,manual
SHEIN,UK,Kids,3 Piece Satin PJ Set,8.79,8,12,manual
SHEIN,UK,Kids,PJ Set,6.27,8,12,manual
Lounge,UK,Adult,PJ Bottoms,40,20,55,manual
Lounge,UK,Adult,PJ Top,40,20,55,manual
Brandy Melville,UK,Young Adult,PJ Bottoms,30,14,30,manual
Brandy Melville,UK,Young Adult,PJ Shorts,18,14,30,manual
Pink Palm Puff,US,Young Adult,PJ Shorts Set,70,8,20,manual
