mid_year,Total_5_years,Total_6_years,Total_7_years,Total_8_years,Total_9_years,Total_10_years,Total_11_years,Total_12_years,Total_13_years,Total_14_years,Total_15_years,Total_16_years,Total_17_years,Total_18_years,Total_19_years,Total_5_19,Total_5_10,Total_11_19
2025,776152.944,773072.972,782384.068,800380.768,822374.392,816560.228,819722.828,838403.252,858252.332,857950.128,847342.868,841612.036,849344.844,820367.396,810143.664,12314064.72,4770925.3719999995,7543139.348
2026,782362.167552,779257.555776,776165.2638879999,785513.604272,803582.291072,825663.889568,819826.468912,823001.719312,841756.8650079999,861685.3413280001,861381.928512,850732.239472,844978.484144,852742.2233760001,823648.8655839999,12332298.907776,4752544.772128,7579754.135648
2027,788621.064892416,785491.616222208,782374.5859991041,779269.9249435519,788655.6586890881,806796.620236288,828966.545126272,823105.774787648,826293.726189248,845123.892468032,865132.0826933121,864827.4562260481,854135.1684298881,848358.398080576,856153.1922695041,12343305.707253184,4731209.470982656,7612096.236270528
2028,794930.0334115553,791775.5491519857,788633.5826870969,785504.0843431005,782387.004643326,791810.2813238445,810023.8067172333,832282.4113067772,826398.1978867986,829598.901094005,848504.388037904,868592.6110240853,868286.7660509523,857551.7091036077,851751.8316728983,12328031.15845517,4735040.535560909,7592990.622894262
2029,801289.4736788479,798109.7535452016,794942.6513485936,791788.1170178453,788646.1006804729,785516.5526618994,794977.5224491399,813263.9019441023,835611.5409520043,829703.7906783458,832917.296698381,851898.4055900556,872066.9814681817,871759.9131151561,860981.9159400221,12323473.91776825,4760292.648932861,7563181.268835389
2030,807699.7894682785,804494.6315735633,801302.1925593824,798122.421953988,794955.2694859167,791800.6850831948,788658.6188725469,798157.4325389364,816516.9575518786,838953.9871158123,833022.6058410592,836248.9658851745,855305.9992124159,875555.2493940544,875246.9527676167,12316041.75930382,4798374.990124323,7517666.769179495
2031,814161.3877840249,810930.5886261517,807712.6100998576,804507.4013296199,801314.911641804,798135.0905638604,794967.8878235276,791813.2533480371,801350.0622690921,819783.0253820862,842309.8030642755,836354.6962644234,839593.9617487151,858727.2232092655,879057.4703916307,12300719.373546371,4836761.990045318,7463957.383501053
2032,820674.678886297,817418.033335161,814174.3109806563,810943.460540257,807725.4309349384,804520.1712883712,801327.6309261158,798147.7593748217,794980.5063614292,804555.4625181685,823062.1574836145,845679.0422765326,839700.1150494812,842952.33759571,862162.1321021026,12288023.229653656,4875456.085965681,7412567.1436879765
2033,827240.0763173874,823957.3776018423,820687.7054685017,817431.0082245789,814187.2343824181,810956.3326586782,807738.2519735247,804532.9414498203,801340.3504123209,798160.428386875,807773.6843682412,826354.406113549,849061.7584456387,843058.9155096791,846324.1469460928,12298804.618259149,4914459.734653407,7384344.883605742
2034,833857.9969279264,830549.036622657,827253.2071122497,823970.4562903757,820700.7322574772,817443.9833199477,814200.1579893129,810969.2049814188,807751.0732156195,804545.7118139702,801353.0701004225,811004.7791057142,829659.8237380033,852458.0054794212,846431.1511717178,12332148.390126234,4953775.412530634,7378372.9775956
2035,840528.8609033498,837193.4289156381,833871.2327691476,830562.2199406987,827266.3381155372,823983.5351865072,820713.7592532275,817456.9586212701,814213.0818013445,810982.077508482,807763.8946612261,804558.4823808242,814248.798222137,832978.4630329553,855867.8375013389,12372188.968813684,4993405.615830879,7378783.352982806
