mid_year,Male_8_years,Female_8_years,Total_8_years,Male_9_years,Female_9_years,Total_9_years,Male_10_years,Female_10_years,Total_10_years,Male_11_years,Female_11_years,Total_11_years,Male_12_years,Female_12_years,Total_12_years,Male_13_years,Female_13_years,Total_13_years,Male_14_years,Female_14_years,Total_14_years,Male_15_years,Female_15_years,Total_15_years,Male_16_years,Female_16_years,Total_16_years,Male_17_years,Female_17_years,Total_17_years,Male_18_years,Female_18_years,Total_18_years,Male_19_years,Female_19_years,Total_19_years
2011,351669,334365,686034,345654,329167,674821,354100,339048,693148,365394,346840,712234,376524,358569,735093,381599,363614,745213,392835,374099,766934,395133,371544,766677,394082,373732,767814,408483,387003,795486,409760,393550,803310,424096,415610,839706
2012,364225,346890,711115,354084,336443,690527,347265,331220,678485,354693,340043,694736,365598,347669,713267,376685,359099,735784,381391,363898,745289,392832,374438,767270,394842,371716,766558,395228,375293,770521,412368,391678,804046,417211,402631,819842
2013,372394,354710,727104,366849,348992,715841,356429,338691,695120,349234,333407,682641,355430,341226,696656,366171,348648,714819,377189,360035,737224,381677,364481,746158,393366,375368,768734,395655,373154,768809,399542,380437,779979,420078,401829,821907
2014,385438,367565,753003,374894,356634,731528,369594,351247,720841,359201,341078,700279,351357,335770,687127,356617,342618,699235,367257,350036,717293,378447,361331,739778,382821,365828,748649,395453,377711,773164,400598,378429,779027,408643,391367,800010
2015,395446,375760,771206,386521,368218,754739,377190,358518,735708,372483,353404,725887,362012,343455,705467,353821,338154,691975,358313,344249,702562,369016,351656,720672,380465,363253,743718,385583,368536,754119,402029,384216,786245,409786,389635,799421
2016,410993,391861,802854,396542,376709,773251,387397,368986,756383,379695,360422,740117,375481,355711,731192,365141,346049,711190,356691,341041,697732,360601,346261,706862,371514,354122,725636,384123,366912,751035,393086,376156,769242,413248,397194,810442
2017,408643,389342,797985,411863,392791,804654,397089,377226,774315,388149,369505,757654,382008,362252,744260,378330,357965,736295,368477,348719,717196,359771,343899,703670,362851,348651,711502,374525,357485,732010,390649,374160,764809,401763,387701,789464
2018,412542,393446,805988,409505,390109,799614,412502,393588,806090,397734,377766,775500,388904,370013,758917,384413,364101,748514,381640,360472,742112,372102,351678,723780,363211,347423,710634,366339,352500,718839,381138,364772,745910,400458,386754,787212
2019,419339,398147,817486,413413,394263,807676,410671,391067,801738,413859,394713,808572,398780,378677,777457,389905,370798,760703,387497,366256,753753,385274,363301,748575,375906,355066,730972,367813,352034,719847,374209,361130,735339,391273,378038,769311
2020,418032,398160,816192,419402,398486,817888,413707,394703,808410,411349,391625,802974,414461,395561,810022,399274,379209,778483,391132,371620,762752,389590,368403,757993,387900,365578,753478,379758,358647,738405,375442,360739,736181,386341,375354,761695
2021,406550,387334,793884,417932,398574,816506,420201,399487,819688,414718,395796,810514,412518,392896,805414,415752,396987,812739,400792,380625,781417,392704,373063,765767,392182,370689,762871,391961,369289,761250,388862,367734,756596,388636,376081,764717
2022,402252,383889,786141,412866,393605,806471,424126,404283,828409,425881,404734,830615,419959,400840,820799,417600,397801,815401,420967,401738,822705,406189,385001,791190,399088,377412,776500,400541,375596,776137,399773,375871,775644,402094,380250,782344
2023,408815,389698,798513,410470,391708,802178,420872,401211,822083,431334,411251,842585,432363,410934,843297,426000,406775,832775,423782,403517,827299,427031,407007,834038,413536,390010,803546,408519,383037,791556,408560,382850,791410,412538,388107,800645
2024,419605,399493,819098,416423,396884,813307,417859,398598,816457,427551,407512,835063,437614,417219,854833,438053,416479,854532,431723,412244,843967,429628,408631,838259,433891,412070,845961,421593,395506,817099,416568,390348,806916,422070,396280,818350
